user_id,navigation_nps,started_survey,edited_survey,published_nps
0,2022-12-14 13:56:35.081,,,
1,2022-05-25 17:45:12.025,2022-05-25 17:45:16.388,2022-05-25 17:45:16.389,
2,2022-05-17 01:49:56.023,,,
3,2022-05-26 08:56:29.051,2022-05-26 08:56:33.842,2022-05-26 08:56:33.849,2022-05-26 08:58:12.009
4,2022-05-10 19:25:12.696,,,
5,2022-05-23 15:03:01.502,,,
6,2022-05-24 02:50:30.553,,,
7,2022-02-07 07:20:07.319,,2022-02-07 07:20:14.483,2022-02-07 07:32:29.106
8,2022-02-17 20:06:32.132,,2022-05-30 19:02:06.216,
9,2022-12-14 14:26:45.020,,,
10,2022-04-22 05:42:36.918,,,
11,2022-03-18 10:44:31.807,,,
12,2022-12-12 04:27:33.809,,,
13,2022-01-27 09:34:45.603,,2022-09-14 13:18:41.674,
14,2022-02-01 14:53:44.320,,2022-02-01 14:53:54.625,2022-02-01 14:55:47.077
15,2022-04-26 13:17:50.451,,2022-11-08 19:05:03.577,
16,2022-05-10 16:41:48.712,,,
17,2022-03-24 20:47:53.916,,,
18,2022-03-18 20:34:24.974,,,
19,2022-12-16 19:03:55.416,,,
20,2022-01-19 23:55:33.377,,2022-06-16 18:37:31.553,
21,2022-05-13 10:47:56.966,,,
22,2022-01-26 23:50:28.128,,,
23,2022-04-11 10:24:42.147,,,
24,2022-12-12 22:59:33.014,,,
25,2022-05-09 14:10:44.581,,2022-05-19 07:43:46.623,
26,2022-04-11 13:53:39.890,,,
27,2022-04-19 13:54:09.112,,,
28,2022-02-23 16:02:14.619,,,
29,2022-01-11 17:05:02.274,,2022-01-11 17:05:08.384,
30,2022-02-15 11:26:32.680,,,
31,2022-01-18 10:16:10.153,,2022-01-18 10:16:23.176,
32,2022-01-06 23:42:42.740,,,
33,2022-05-20 00:32:30.519,,2022-06-06 03:21:15.613,
34,2022-01-11 16:28:34.043,,2022-01-11 16:35:03.447,
35,2022-04-05 10:30:32.701,,,
36,2022-01-13 14:58:46.985,,,
37,2022-01-03 12:07:27.631,,,
38,2022-02-01 13:47:36.950,,,
39,2022-01-06 14:29:38.039,,2022-01-06 14:29:50.525,
40,2022-05-16 03:54:06.709,,,
41,2022-04-30 03:58:25.703,,,
42,2022-02-15 12:09:05.226,,,
43,2022-03-16 06:56:16.074,,,
44,2022-02-03 00:28:14.716,,,
45,2022-05-24 16:25:42.957,,2022-05-24 16:26:20.418,
46,2022-03-25 04:39:21.921,,2022-03-25 04:42:07.637,
47,2022-12-15 22:40:20.512,,,
48,2022-03-21 13:28:48.632,,,
49,2022-03-03 20:07:09.995,,,
50,2022-05-23 12:13:46.688,,,
51,2022-04-19 13:45:39.580,,2022-04-20 11:18:28.365,
52,2022-12-14 01:18:20.554,,,
53,2022-12-12 15:28:56.295,,,
54,2022-05-06 22:41:35.802,,,
55,2022-02-16 10:06:24.439,,2022-06-24 13:07:51.401,
56,2022-04-22 05:05:57.214,,,
57,2022-01-06 19:26:13.305,,,
58,2022-01-10 02:09:51.734,,2022-01-24 03:19:43.312,
59,2022-03-21 18:56:52.628,,2022-03-21 18:59:15.670,
60,2022-02-27 12:20:39.022,,,
61,2022-01-07 12:45:19.723,,2022-08-12 11:58:49.851,
62,2022-01-06 00:30:57.570,,,
63,2022-04-14 16:40:57.791,,2022-04-20 20:14:58.497,
64,2022-02-02 16:40:52.239,,,
65,2022-01-03 08:40:32.012,,,
66,2022-01-13 08:30:38.690,,2022-01-13 08:30:52.945,
67,2022-05-04 11:40:21.914,,2022-05-04 11:42:43.045,
